"filename", "language", "JavaScript", "JSON", "Markdown", "Excel", "HTML", "CSS", "Log", "XML", "comment", "blank", "total"
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcreatOrdersInBatches_CPro.ejs", "HTML", 0, 0, 0, 0, 224, 0, 0, 0, 3, 9, 236
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcreatOrdersInBatches_CStu.ejs", "HTML", 0, 0, 0, 0, 253, 0, 0, 0, 3, 9, 265
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcreatOrdersInBatches_Pconfirm.ejs", "HTML", 0, 0, 0, 0, 124, 0, 0, 0, 2, 5, 131
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcreatOrdersInBatches_Result.ejs", "HTML", 0, 0, 0, 0, 83, 0, 0, 0, 3, 3, 89
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcreatOrdersInBatches_Sconfirm.ejs", "HTML", 0, 0, 0, 0, 123, 0, 0, 0, 3, 5, 131
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcreatOrdersInBatches_Window.ejs", "HTML", 0, 0, 0, 0, 161, 0, 0, 0, 5, 9, 175
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TgroupInfoAdmin.ejs", "HTML", 0, 0, 0, 0, 168, 0, 0, 0, 0, 7, 175
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\Thome.ejs", "HTML", 0, 0, 0, 0, 123, 0, 0, 0, 0, 9, 132
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\Tindex.ejs", "HTML", 0, 0, 0, 0, 67, 0, 0, 0, 46, 5, 118
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TloginOutSucc.ejs", "HTML", 0, 0, 0, 0, 65, 0, 0, 0, 0, 6, 71
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TloginTimeOut.ejs", "HTML", 0, 0, 0, 0, 65, 0, 0, 0, 0, 6, 71
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TpaymentRecordsAdmin.ejs", "HTML", 0, 0, 0, 0, 259, 0, 0, 0, 38, 6, 303
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TproductListAdmin.ejs", "HTML", 0, 0, 0, 0, 278, 0, 0, 0, 0, 9, 287
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TscholarshipInfoAdmin.ejs", "HTML", 0, 0, 0, 0, 258, 0, 0, 0, 0, 8, 266
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TstockListAdmin.ejs", "HTML", 0, 0, 0, 0, 241, 0, 0, 0, 5, 7, 253
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TstudentInfoAdmin.ejs", "HTML", 0, 0, 0, 0, 301, 0, 0, 0, 2, 8, 311
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\changePassword.ejs", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 71
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\changePasswordOK.ejs", "HTML", 0, 0, 0, 0, 60, 0, 0, 0, 10, 6, 76
